Temperatur;Heat high [MWh/m2];Heat Medium (bu6);Heat Low;Base demand;Wind Onshore;Wind Offshore;PV;WW
-3.1;5.72638E-05;1.81572E-05;0;35699.03865;0.1471;0.3893;0;0.00000027
-3.7;9.76433E-05;4.81746E-05;1.42356E-05;39236.03865;0.1287;0.3628;0;0.00000027
-4.1;9.10719E-05;4.25357E-05;9.99307E-06;56809.71331;0.1236;0.3386;0;0.00000227
-4.8;9.01415E-05;4.09911E-05;9.16378E-06;63820.42661;0.13;0.3176;0;0.00000454
-5.1;9.43605E-05;4.50157E-05;1.05801E-05;66981.71331;0.1434;0.2837;0.0023;0.00000227
-6.1;9.57214E-05;4.58132E-05;1.04341E-05;72396.94844;0.1495;0.3248;0.014;0.00000135
-5.8;9.51114E-05;4.53183E-05;1.00506E-05;74630.94844;0.1499;0.299;0.0344;0.00000135
-5.1;9.24988E-05;4.31003E-05;8.54992E-06;72316.66175;0.1442;0.2656;0.0509;0.00000362
-4.6;9.02834E-05;4.12916E-05;7.63941E-06;68893.42661;0.1291;0.2857;0.0573;0.00000454
-4.5;9.19913E-05;4.29039E-05;8.72826E-06;68541.71331;0.1232;0.2993;0.0511;0.00000227
-4.3;9.20312E-05;4.28045E-05;8.96363E-06;67588.94844;0.1338;0.2752;0.0332;0.00000135
-4.1;9.18737E-05;4.24315E-05;8.95633E-06;66957.94844;0.1579;0.303;0.0152;0.00000135
-4;8.8032E-05;3.83504E-05;7.30695E-06;67585.66175;0.1755;0.3835;0.0022;0.00000362
-3.8;8.62561E-05;3.65921E-05;6.61874E-06;69531.80905;0.199;0.4745;0;0.000005
-3.8;8.66207E-05;3.68184E-05;6.6524E-06;69314.04418;0.217;0.4776;0;0.00000408
-4.1;8.72189E-05;3.70643E-05;6.6548E-06;67423.66175;0.2258;0.4428;0;0.00000362
-3.3;8.91252E-05;3.92961E-05;7.63294E-06;63324.94844;0.2287;0.437;0;0.00000135
-2.1;8.59551E-05;3.68454E-05;6.79314E-06;60313.94844;0.2276;0.4271;0;0.00000135
-1.1;4.53226E-05;6.78297E-06;0;49541.40079;0.2226;0.4456;0;0.00000135
-0.6;5.31858E-05;1.37638E-05;0;45217.24204;0.2157;0.4402;0;0.00000027
-0.1;4.758E-05;9.96518E-06;0;42021.24204;0.2096;0.4571;0;0.00000027
